Région,Délegation,Commune,Nom établissement,Catégorie
Fès-Meknès,Taounate,Tabouda,Tabouda,CSR-1
Fès-Meknès,Taounate,Tafrant,Tafrant,CSR-2
Fès-Meknès,Taounate,Bni Snous,Bni Snous,CSR-1
Fès-Meknès,Taounate,Moulay Abdelkrim,My ABDELKRIM,CSR-1
Fès-Meknès,Taounate,Moulay Bouchta,Moulay Bouchta,CSR-1
Fès-Meknès,Taounate,Moulay Bouchta,Bridia,DR
Fès-Meknès,Taounate,Bouchabel,Bouchabel,CSR-2
Fès-Meknès,Taounate,Jbabra,Jbabra,CSR-1
Fès-Meknès,Taounate,Loulja,Oulja,CSR-1
Fès-Meknès,Taounate,Sidi El Abed,Sidi El Abed (Rhrasla),CSR-1
Fès-Meknès,Taounate,Rhouazi,Rhouazi,CSR-1
Fès-Meknès,Taounate,Rhouazi,Draza,DR
Fès-Meknès,Taounate,Mkansa,Mkansa,CSR-2
Fès-Meknès,Taounate,Mkansa,Dechra,DR
Fès-Meknès,Taounate,Ain Mediouna,Ain Mediouna,CSR-2
Fès-Meknès,Taounate,Ain Mediouna,Tazouda,DR
Fès-Meknès,Taounate,Ain Mediouna,Zmamra(B.Selmane),DR
Fès-Meknès,Taounate,Bni Oulid,Bni Oulid,CSR-2
Fès-Meknès,Taounate,Bni Oulid,S. Boujmaa (Timedghass),DR
Fès-Meknès,Taounate,Bni Oulid,Oued Louane,DR
Fès-Meknès,Taounate,Bouadel,Bouadel Lemrouj,CSR-1
Fès-Meknès,Taounate,Bouadel,Bouadel Dahir,DR
Fès-Meknès,Taounate,Bouhouda,Bouhouda,CSR-2
Fès-Meknès,Taounate,Bouhouda,Ayechtoum,DR
Fès-Meknès,Taounate,Bouhouda,Beni Berbere,DR
Fès-Meknès,Taounate,Bni Ounjel Tafraout,S.Abderrahman,CSR-1
Fès-Meknès,Taounate,Fennassa Bab El Hit,Oued El Kasabah (Bni Ounjel),CSR-1
Fès-Meknès,Taounate,Fennassa Bab El Hit,Hamata,DR
Fès-Meknès,Taounate,Tamedit,Tamedit,CSR-1
Fès-Meknès,Taounate,Tamedit,Kodia,DR
Fès-Meknès,Taounate,Tamedit,Dar Abkhti (Aouzay),DR
Fès-Meknès,Taounate,Mezraoua,Oulad Tahar,CSR-1
Fès-Meknès,Taounate,Rghioua,Bab Ouender,CSR-1
Fès-Meknès,Taounate,Rghioua,El Onsar,DR
Fès-Meknès,Taounate,Khlalfa,Khlalfa,CSR-1
Fès-Meknès,Taounate,Zrizer,Zrizer,CSR-1
Fès-Meknès,Taounate,Ain Aicha,Ain Aicha,CSR-2
Fès-Meknès,Taounate,Ain Maatouf,Ain Khemiss (Ain Maatouf),CSR-1
Fès-Meknès,Taounate,Ain Maatouf,Ain Maatouf (Kharrouba),DR
Fès-Meknès,Taounate,Bouarouss,Bouarouss,CSR-2
Fès-Meknès,Taounate,Bouarouss,Oulad Ali,DR
Fès-Meknès,Taounate,Bouarouss,Trifa,DR
Fès-Meknès,Taounate,Oulad Daoud,Oulad Daoud,CSR-1
Fès-Meknès,Taounate,El Bsabsa,El Bsabsa,CSR-1
Fès-Meknès,Taounate,Oued Jemaa,Oued Jemaa,CSR-1
Fès-Meknès,Taounate,Ras El Oued,Ras El Oued,CSR-1
Fès-Meknès,Taounate,Ras El Oued,Bratla,DR
Fès-Meknès,Taounate,Sidi M'HamedBen Lahcen,S. M'hamed B. Lahcen (Gaada Rouichyine),CSR-1
Fès-Meknès,Taounate,Sidi M'HamedBen Lahcen,Hamoudiat,DR
Fès-Meknès,Taounate,Ain Legdah,Ain Legdah,CSR-2
Fès-Meknès,Taounate,Jbabra,El Onsar,DR
Fès-Meknès,Taounate,Oulad Ayyad,Oulad Ayyad,CSR-1
Fès-Meknès,Taounate,Messassa,Messassa,CSR-1
Fès-Meknès,Taounate,Outabouabane,Outabouabane,CSR-1
Fès-Meknès,Taza,Maghraoua,Asrir,DR
Fès-Meknès,Taza,Tizi Ouasli,Taghilaste,DR
Fès-Meknès,Taza,Bni Frassen,Bni Frassen,CSR-2
Fès-Meknès,Taza,Aknoul (Mun.),Aknoul,CSU-2
Fès-Meknès,Taza,Oued Amlil (Mun.),Ouad Amlil,CSU-2
Fès-Meknès,Taza,Tahla (Mun.),Tahala,CSU-2
Fès-Meknès,Taza,Taza (Mun.),Bab Tete,CSU-1
Fès-Meknès,Taza,Taza (Mun.),Bab Zitouna   ,CSU-1
Fès-Meknès,Taza,Taza (Mun.),Bit Ghoulem,CSU-1
Fès-Meknès,Taza,Taza (Mun.),Bin Jradi   ,CSU-1
Fès-Meknès,Taza,Taza (Mun.),Al Wahdah,CSU-1
Fès-Meknès,Taza,Taza (Mun.),Al Qods,CSU-1
Fès-Meknès,Taza,Taza (Mun.),Jiyarine,CSU-1
Fès-Meknès,Taza,Taza (Mun.),Massira II,CSU-1
Fès-Meknès,Taza,Ajdir,Ajdir,CSR-2
Fès-Meknès,Taza,Ajdir,Yarouhdoud,DR
Fès-Meknès,Taza,Ajdir,Ain Hamra,DR
Fès-Meknès,Taza,Bourd,Boured,CSR-1
Fès-Meknès,Taza,Bourd,Inahnahen,DR
Fès-Meknès,Taza,Bourd,Tisliouine,DR
Fès-Meknès,Taza,Gzenaya Al Janoubia,Malal,CSR-1
Fès-Meknès,Taza,Jbarna,Jbarna,CSR-1
Fès-Meknès,Taza,Sidi Ali Bourakba,S.Ali Bourakba,CSR-1
Fès-Meknès,Taza,Sidi Ali Bourakba,Od ALI B.AISSA,DR
Fès-Meknès,Taza,Sidi Ali Bourakba,Bni M'hamed,DR
Fès-Meknès,Taza,Sidi Ali Bourakba,Tastite,DR
Fès-Meknès,Taza,Tizi Ouasli,Tizi Ouasli,CSR-2
Fès-Meknès,Taza,Bni Frassen,Beni Abdellah,DR
Fès-Meknès,Taza,Bni Frassen,Mrillou   ,DR
Fès-Meknès,Taza,Rbaa El Fouki,Rbaa El Fouki (El Fahsse),CSR-1
Fès-Meknès,Taza,Bouchfaa,Bouchfaa,CSR-1
Fès-Meknès,Taza,Bouhlou,Bouhlou,CSR-1
Fès-Meknès,Taza,Bouhlou,Kaouan,DR
Fès-Meknès,Taza,Ghiata Al Gharbia,Gaada  Lhamra,CSR-1
Fès-Meknès,Taza,Ghiata Al Gharbia,Beni Mgara,DR
Fès-Meknès,Taza,Ghiata Al Gharbia,Maskrierne,DR
Fès-Meknès,Taza,Oulad Zbair,Oulad Zbair,CSR-2
Fès-Meknès,Taza,Matmata,Matmata,CSR-1
Fès-Meknès,Taza,Matmata,Ain Boumassai,DR
Fès-Meknès,Taza,Matmata,ZAWIA,DR
Fès-Meknès,Taza,Smià,Smia,CSR-1
Fès-Meknès,Taza,Smià,Bab Souk Sejra,DR
Fès-Meknès,Taza,Bouyablane,Bouyablane,CSR-1
Fès-Meknès,Taza,Tazarine,Tazarine,CSR-1
Fès-Meknès,Taza,Ait Saghrouchen,Bouzemlane,CSR-2
Fès-Meknès,Taza,Ait Saghrouchen,TAMAZARTE,DR
Fès-Meknès,Taza,Maghraoua,Maghraoua,CSR-2
Fès-Meknès,Taza,Maghraoua,Bab Larbaa (El Ansar),DR
Fès-Meknès,Taza,Maghraoua,Tlajdoute,DR
Fès-Meknès,Taza,Zrarda,Zrarda,CSR-2
Fès-Meknès,Taza,Bni Ftah,Bni Ftah,CSR-1
Fès-Meknès,Taza,Bni Ftah,Oued Broun,DR
Fès-Meknès,Taza,Taifa,Bab Elmrouj,CSR-2
Fès-Meknès,Taza,Taifa,Taifa,DR
Fès-Meknès,Taza,Taifa,Saaida,DR
Fès-Meknès,Taza,Traiba,Traiba,CSR-1
Fès-Meknès,Taza,Kaf El Ghar,Kaf El Ghar,CSR-2
Fès-Meknès,Taza,Brarha,Brarha,CSR-1
Fès-Meknès,Taza,Msila,Had Msila,CSR-2
Fès-Meknès,Taza,El Gouzate,El Gouzate  ,CSR-1
Fès-Meknès,Taza,Tainaste,Tainaste,CSR-2
Fès-Meknès,Taza,Tainaste,Beni Krama,DR
Fès-Meknès,Taza,Bab Boudir,Bab Boudir,CSR-1
Fès-Meknès,Taza,Bab Marzouka,Bab Marzouka,CSR-2
Fès-Meknès,Taza,Bab Marzouka,Jlaila,DR
Fès-Meknès,Taza,Bab Marzouka,Jamaa Lakbir,DR
Fès-Meknès,Taza,Bni Lent,Bni Lent,CSR-2
Fès-Meknès,Taza,Oulad Chrif,Od Cherif (Bab Ramla),CSR-1
Fès-Meknès,Taza,Oulad Chrif,Skhirat,DR
Fès-Meknès,Taza,Galdamane,Galdamane,CSR-1
Fès-Meknès,Taza,Galdamane,Bechiene,DR
Fès-Meknès,Taza,Galdamane,Ouaraguine,DR
Fès-Meknès,Taza,Meknassa Acharqia,Meknassa Cherkia,CSR-2
Fès-Meknès,Taza,Meknassa Al Gharbia,Meknassa Rharbia,CSR-1
Fès-Meknès,Taza,Taza (Mun.),Ourida,CRSR
Fès-Meknès,Taza,Taza (Mun.),Bab Tete,CDTMR
Fès-Meknès,Taza,Taza (Mun.),Labo.  Epidemiologique,LSP
Fès-Meknès,Moulay Yacoub,Moulay Yacoub (Mun.),My Yaacoub,CSU-2
Fès-Meknès,Moulay Yacoub,Ain Chkef,Ain Chkef,CSU-2
Fès-Meknès,Moulay Yacoub,Ain Chkef,Ras El Ma,CSU-1
Fès-Meknès,Moulay Yacoub,Mikkes,Mikkes,CSR-2
Fès-Meknès,Moulay Yacoub,Sebt Loudaya,Sebt Loudaya,CSR-1
Fès-Meknès,Moulay Yacoub,Sebt Loudaya,BIYADA,DR
Fès-Meknès,Moulay Yacoub,Sebaa Rouadi,Ain Allah,CSR-2
Fès-Meknès,Moulay Yacoub,Sebaa Rouadi,Ghomra,DR
Fès-Meknès,Moulay Yacoub,Sebaa Rouadi,Oulad Hilal,DR
Fès-Meknès,Moulay Yacoub,Sebaa Rouadi,Tlaha,DR
Fès-Meknès,Moulay Yacoub,Ain Bou Ali,S. Ahmed Bernoussi,CSR-2
Fès-Meknès,Moulay Yacoub,Ain Bou Ali,Ain Bouali,DR
Fès-Meknès,Moulay Yacoub,Ain Bou Ali,LAARISSA,DR
Fès-Meknès,Moulay Yacoub,Ain Bou Ali,Sidi m'sahel,DR
Fès-Meknès,Moulay Yacoub,Laajajra,Laajajra,CSR-1
Fès-Meknès,Moulay Yacoub,Laajajra,Jouaber,DR
Fès-Meknès,Moulay Yacoub,Sidi Daoud,Sidi Daoud,CSR-2
Fès-Meknès,Moulay Yacoub,Sidi Daoud,Sbaa Rouadi,DR
Fès-Meknès,Moulay Yacoub,Sidi Daoud,Tikniouine,DR
Fès-Meknès,Moulay Yacoub,Ain Kansra,Ain Kansara,CSR-2
Fès-Meknès,Moulay Yacoub,Louadaine,Hamria,CSR-2
Fès-Meknès,Moulay Yacoub,Oulad Mimoun,Oulad Mimoun (Sebt Od Jamaa),CSR-1
Fès-Meknès,Moulay Yacoub,Oulad Mimoun,Ben Yakhlef (Oulad Mimoun),DR
Fès-Meknès,Moulay Yacoub,Oulad Mimoun,Ouled bouziane,DR
Fès-Meknès,Moulay Yacoub,Ain Chkef,Sis,CRSR
Fès-Meknès,Moulay Yacoub,Louadaine,Fchalta,DR
Fès-Meknès,Moulay Yacoub,Sebaa Rouadi,Douiyate,CSR-1
Fès-Meknès,Moulay Yacoub,Ain Kansra,Mesdoura,DR
Fès-Meknès,Moulay Yacoub,Ain Chkef,Ouled Boussaleh,CSR-1
Fès-Meknès,Moulay Yacoub,Ain Chkef,Ras Elma,CSU-2
Fès-Meknès,Moulay Yacoub,Ain Chkef,Ain Chkef,CDTMR
Fès-Meknès,Moulay Yacoub,Ain Chkef,Ras Elma,DR
Fès-Meknès,Moulay Yacoub,Ain Bou Ali,Sidi Moussa ElHadi,DR
Fès-Meknès,Moulay Yacoub,Laajajra,Zyayna,DR
Fès-Meknès,Moulay Yacoub,Sidi Daoud,Ouled Said,DR
Fès-Meknès,Moulay Yacoub,Oulad Mimoun,Chbabat,DR
Rabat-Salé-Kénitra,Kenitra,Moulay Bousselham,Dlalha,DR
Rabat-Salé-Kénitra,Kenitra,Chouafaa,Dar El Harrak,CSR-2
Rabat-Salé-Kénitra,Kenitra,Chouafaa,GLA,DR
Rabat-Salé-Kénitra,Kenitra,Sidi Boubker El Haj,S.Boubker El Haj,CSR-1
Rabat-Salé-Kénitra,Kenitra,Sidi Mohamed Lahmar,S.Mohamed Lahmer,CSR-2
Rabat-Salé-Kénitra,Kenitra,Souk Tlet El Gharb,Souk Tlat,CSR-1
Rabat-Salé-Kénitra,Kenitra,Sidi Allal Tazi,Sidi Allal Tazi,CSR-2
Rabat-Salé-Kénitra,Kenitra,Ben Mansour,Had Od Jelloul,CSR-2
Rabat-Salé-Kénitra,Kenitra,Ben Mansour,S.Hachmi Bahraoui,CSR-1
Rabat-Salé-Kénitra,Kenitra,Ben Mansour,Oulad Mhamed,DR
Rabat-Salé-Kénitra,Kenitra,Sidi Mohamed Ben Mansour,Riah Gablia,DR
Rabat-Salé-Kénitra,Kenitra,Mnasra,Od LASSAL,CSR-1
Rabat-Salé-Kénitra,Kenitra,Mnasra,Laanabsa,CSR-1
Rabat-Salé-Kénitra,Kenitra,Mnasra,Ouled Larbi,DR
Rabat-Salé-Kénitra,Kenitra,Mograne,Mograne,CSR-2
Rabat-Salé-Kénitra,Kenitra,Mograne,Kariat Sidi  Aissa,DR
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Lalla Salma,CRSR
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),C.Diagnostic Tuberculose,CDTMR
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Labo. Epidemiologique,LSP
Rabat-Salé-Kénitra,Kenitra,Sidi Taibi,Sidi Taibi Oulad N'Sar,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Ahmed Bouihi,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),El Khansa,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Brahim Soussi,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),My El Hassan,CSU-2
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Mohamed Diouri,CSU-2
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Villa Haute (Abderahmane Nacer),CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Bir Rami,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Haddada,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Houman Fetouaki,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Okba,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Rjafellah,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Abder. Labzar,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Allal B.Abdellah,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Souk Sebt,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Med Zerktouni,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Mbarek Bel Gada (Habitat),CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Chouhada,CSU-2
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Haj Mansour,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Ouled Oujih II,CSU-1
Rabat-Salé-Kénitra,Kenitra,Mehdya (Mun.),Kasbah (Mehdya),CSU-1
Rabat-Salé-Kénitra,Kenitra,Souk El Arbaa (Mun.),Hay Salam,CSU-1
Rabat-Salé-Kénitra,Kenitra,Souk El Arbaa (Mun.),Souk El Arbaa,CSU-1
Rabat-Salé-Kénitra,Kenitra,Ameur Seflia,Dhor Lokbar,CSR-1
Rabat-Salé-Kénitra,Kenitra,Ameur Seflia,TAOUZIT (OULED AYACHI),CSR-1
Rabat-Salé-Kénitra,Kenitra,Haddada,Mgadid,CSR-1
Rabat-Salé-Kénitra,Kenitra,Haddada,Mechraa El Kettane,DR
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Ain Sbaa Mkhalif,CSU-1
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Nkhakhsa,CSU-1
Rabat-Salé-Kénitra,Kenitra,Ouled Slama,Sidi Ayach (Od Slama),CSR-1
Rabat-Salé-Kénitra,Kenitra,Sidi Taibi,Sidi Taibi Hancha,CSU-2
Rabat-Salé-Kénitra,Kenitra,Arbaoua,Arbaoua,CSR-2
Rabat-Salé-Kénitra,Kenitra,Oued El Makhazine,Oued Makhazine,CSR-1
Rabat-Salé-Kénitra,Kenitra,Beni Malek,Lalla Ghanou,CSR-1
Rabat-Salé-Kénitra,Kenitra,Beni Malek,OULED AISSA RMEL,DR
Rabat-Salé-Kénitra,Kenitra,Kariat Ben Aouda,Kariat ben aouda,CSR-1
Rabat-Salé-Kénitra,Kenitra,Bahhara Ouled Ayad,Od MESBAH ROUIF  ,CSR-1
Rabat-Salé-Kénitra,Kenitra,Lalla Mimouna,Lalla Mimouna,CSR-2
Rabat-Salé-Kénitra,Kenitra,Moulay Bousselham,Moulay Bouselham,CSR-1
Rabat-Salé-Kénitra,Kenitra,Sidi Mohamed Ben Mansour,Sidi Mohammed Ben Mansour,CSR-1
Rabat-Salé-Kénitra,Kenitra,Sidi Mohamed Lahmar,Ouled Moussa Bahara,DR
Rabat-Salé-Kénitra,Kenitra,Mehdya (Mun.),Alliance Darna Mehdia,CSU-1
Rabat-Salé-Kénitra,Kenitra,Souk El Arbaa (Mun.),Hay Hind,CSU-2
Rabat-Salé-Kénitra,Kenitra,Arbaoua,Dressa,DR
Rabat-Salé-Kénitra,Kenitra,Sidi Mohamed Lahmar,Lahfaya,DR
Rabat-Salé-Kénitra,Kenitra,Ben Mansour,Maaizat,CSR-1
Rabat-Salé-Kénitra,Khémisset,Marchouch,Marchouch,CSR-1
Rabat-Salé-Kénitra,Khémisset,Jemaat Moul Blad,Jemaat Moul Blad,CSR-2
Rabat-Salé-Kénitra,Khémisset,Moulay Driss Aghbal,My DRISS AGHBAL,CSR-1
Rabat-Salé-Kénitra,Khémisset,Ain Johra -Sidi Boukhalkhal,Ain Johra,CSR-1
Rabat-Salé-Kénitra,Khémisset,Ain Johra -Sidi Boukhalkhal,S.Boukhalkhal,CSR-1
Rabat-Salé-Kénitra,Khémisset,Ait Belkacem,Ait Belkacem,CSR-1
Rabat-Salé-Kénitra,Khémisset,Ait Buyahya El Hajjama,Hajjama,CSR-1
Rabat-Salé-Kénitra,Khémisset,Ait Buyahya El Hajjama,Ait Bouyahia,DR
Rabat-Salé-Kénitra,Khémisset,Khemis Sidi Yahya,Khemis Sidi Yahya,CSR-2
Rabat-Salé-Kénitra,Khémisset,Ait Malek,Tnine Moughane,CSR-1
Rabat-Salé-Kénitra,Khémisset,M'qam Tolba,Mqam Tolba,CSR-1
Rabat-Salé-Kénitra,Khémisset,Sidi Abderrazak,Sidi Abderrazak,CSR-2
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),Essaada,CDTMR
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),Maamora,LSP
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),Essaada,CSU-1
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),Essalam,CSU-1
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),Moussa Bnou Nouceir,CSU-1
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),Maamora,CSU-1
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),El Yassmine,CSU-1
Rabat-Salé-Kénitra,Khémisset,Rommani (Mun.),Roummani,CSU-1
Rabat-Salé-Kénitra,Khémisset,Tiflet (Mun.),Tiflet,CSU-1
Rabat-Salé-Kénitra,Khémisset,Tiflet (Mun.),Andalous,CSU-1
Rabat-Salé-Kénitra,Khémisset,Sidi Allal El Bahraoui (Mun.),S.Allal Bahraoui,CSU-2
Rabat-Salé-Kénitra,Khémisset,Ait Mimoune,Ait Mimoune,CSR-1
Rabat-Salé-Kénitra,Khémisset,Ait Mimoune,Ouljate Soltane,DR
Rabat-Salé-Kénitra,Khémisset,Ait Ouribel,Had Khammouja,CSR-1
Rabat-Salé-Kénitra,Khémisset,Majmaa Tolba,Majmaa Tolba,CSR-1
Rabat-Salé-Kénitra,Khémisset,Majmaa Tolba,Birrejline,DR
Rabat-Salé-Kénitra,Khémisset,Ait Yadine,Ait Yadine,CSR-1
Rabat-Salé-Kénitra,Khémisset,El Ganzra,El Ganzra,CSR-1
Rabat-Salé-Kénitra,Khémisset,El Ganzra,Ait Ounzar,DR
Rabat-Salé-Kénitra,Khémisset,Sidi Allal Lamsadder,S.Allal Lamsadder,CSR-1
Rabat-Salé-Kénitra,Khémisset,Sidi El Ghandour,Sidi El Rhandour,CSR-1
Rabat-Salé-Kénitra,Khémisset,Sidi El Ghandour,Sidi Meziane,DR
Rabat-Salé-Kénitra,Khémisset,Ait Siberne,Ait Siberne,CSR-1
Rabat-Salé-Kénitra,Khémisset,Sfassif,Sfassif,CSR-2
Rabat-Salé-Kénitra,Khémisset,Ait Ikkou,Ait Ikkou,CSR-1
Rabat-Salé-Kénitra,Khémisset,Houderrane,Houderrane,CSR-1
Rabat-Salé-Kénitra,Khémisset,Maaziz,Maaziz,CSR-2
Rabat-Salé-Kénitra,Khémisset,Ait Ichou,Tiliouine,CSR-1
Rabat-Salé-Kénitra,Khémisset,Bouqachmir,Bouqachmir,CSR-1
Rabat-Salé-Kénitra,Khémisset,Oulmes,Oulmes  ,CSR-2
Rabat-Salé-Kénitra,Khémisset,Oulmes,Tarmilate,DR
Rabat-Salé-Kénitra,Khémisset,Tiddas,Tiddas,CSR-2
Rabat-Salé-Kénitra,Khémisset,Brachoua,Brachoua,CSR-1
Rabat-Salé-Kénitra,Khémisset,Brachoua,N'khila,DR
Rabat-Salé-Kénitra,Khémisset,Ezzhiliga,Ezzhiliga,CSR-2
Rabat-Salé-Kénitra,Khémisset,Laghoualem,Laghoualem,CSR-2
Rabat-Salé-Kénitra,Khémisset,Ain Sbit,Ain Sbit,CSR-1
Rabat-Salé-Kénitra,Khémisset,Khémisset (Mun.),CRSR Khemisset,CRSR
Rabat-Salé-Kénitra,Khémisset,Ait Yadine,Ikhttaten,DR
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),Annahda,CSU-1
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),El Wahda (Hay Sinai),CSU-1
Rabat-Salé-Kénitra,Rabat,Hassan (Arrond.),Sidi Fateh,CSU-2
Rabat-Salé-Kénitra,Rabat,Hassan (Arrond.),Akkari,CSU-1
Rabat-Salé-Kénitra,Rabat,Hassan (Arrond.),Diour Jamaa,CSU-2
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Hay Riyad,CSU-1
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),Farah,CSU-2
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),Youssoufia I,CSU-2
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),Bouregrag (Doum),CSU-1
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),Inbiat,CSU-1
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),Takadoum,CSU-2
Rabat-Salé-Kénitra,Rabat,Agdal Riyad (Arrond.),Souissi,CRSR
Rabat-Salé-Kénitra,Rabat,El Youssoufia (Arrond.),CDTMR Rabat (Youssoufia II),CDTMR
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Al Kerma,CRSR
Rabat-Salé-Kénitra,Rabat,Hassan (Arrond.),Hassan,CSU-1
Rabat-Salé-Kénitra,Rabat,Hassan (Arrond.),Ocean,CSU-1
Rabat-Salé-Kénitra,Rabat,Touarga (Mun.),Lalla Amina,CSU-2
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Kouas,CSU-2
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),El Amal,CSU-2
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Ar-Rahma,CSU-1
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Bouitat,CSU-1
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Bouhlal,CSU-1
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),El Melk,CSU-2
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Massira,CSU-1
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Annour,CSU-1
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Al Masjid,CSU-1
Rabat-Salé-Kénitra,Rabat,Yacoub El Mansour (Arrond.),Chbanate (Hay El Fath),CSU-1
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),Bab Khemiss,CSU-1
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),Bab Sebta,CSU-1
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),Jerda,CSU-1
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),S.Moussa,CSU-1
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),Said Hajji,CSU-1
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),SOUANI,CSU-1
Rabat-Salé-Kénitra,Salé,Bettana (Arrond.),Hay Essalam,CSU-1
Rabat-Salé-Kénitra,Salé,Bettana (Arrond.),Bettana,CSU-1
Rabat-Salé-Kénitra,Salé,Bettana (Arrond.),Moulay Ismail,CSU-1
Rabat-Salé-Kénitra,Salé,Bettana (Arrond.),Abderrahim Bouabid,CSU-1
Rabat-Salé-Kénitra,Salé,Hssaine (Arrond.),Hsaine,CSU-1
Rabat-Salé-Kénitra,Salé,Hssaine (Arrond.),Sidi Hmida,CSU-1
Rabat-Salé-Kénitra,Salé,Hssaine (Arrond.),El Karia,CSU-1
Rabat-Salé-Kénitra,Salé,Hssaine (Arrond.),Sala Al Jadida,CSU-1
Rabat-Salé-Kénitra,Salé,Hssaine (Arrond.),Ibn Sina (Sala Al Jadida II),CSU-1
Rabat-Salé-Kénitra,Salé,Hssaine (Arrond.),Hay Kifah,CSU-1
Rabat-Salé-Kénitra,Salé,Layayda (Arrond.),Ibn El Haithem (Laayayda I),CSU-1
Rabat-Salé-Kénitra,Salé,Layayda (Arrond.),Laayayda (Laayayda II),CSU-1
Rabat-Salé-Kénitra,Salé,Layayda (Arrond.),Ssidi Abdellah,CSU-1
Rabat-Salé-Kénitra,Salé,Tabriquet (Arrond.),Pepiniere,CSU-1
Rabat-Salé-Kénitra,Salé,Tabriquet (Arrond.),Douar Cheikh M'fadel,CSU-1
Rabat-Salé-Kénitra,Salé,Tabriquet (Arrond.),Rostal,CSU-1
Rabat-Salé-Kénitra,Salé,Tabriquet (Arrond.),Hay Er-Rahma,CSU-1
Rabat-Salé-Kénitra,Salé,Sidi Bouknadel (Mun.),Bouknadel,CSU-2
Rabat-Salé-Kénitra,Salé,Shoul,Arjat,CSR-1
Rabat-Salé-Kénitra,Salé,Shoul,Shoul,DR
Rabat-Salé-Kénitra,Salé,Shoul,Sidi Azzouz,CSR-1
Rabat-Salé-Kénitra,Salé,Bab Lamrissa (Arrond.),Bab Khemiss,CDTMR
Rabat-Salé-Kénitra,Salé,Layayda (Arrond.),Al Maza,CSU-1
Rabat-Salé-Kénitra,Salé,Ameur,Ameur,CSU-1
